File Path	chrom://marshall/Chromeleon7/GC6850-F/Users/kellerp/20230310_PKe_PHB_836_Daria.seq/677.smp/GC_1.channel
Channel	GC_1

Injection Information:
Data Vault	Chromeleon7
Injection	PHB 10ug/mL
Injection Number	34
Position	2
Comment	
Processing Method	PHB
Instrument Method	20230310_PHB_quantification_adapted
Type	Calibration Standard
Status	Finished
Injection Date	3/10/2023
Injection Time	5:08:57 PM
Injection Volume (µl)	1.00
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000114
Time Max. (min)	8.022614
Data Points	9628
Detector	GC
Generating Data System	Chromeleon 7.2.8.10783
Exporting Data System	Chromeleon 7.2.8.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	-3.505339
Signal Max.	64,955.890234
Channel	GC_1
Driver Name	Hp6850
Channel Type	Evaluation
Min. Step (s)	0.05
Max. Step (s)	0.05
Average Step (s)	0.05

Signal Parameter Information:
Signal Info	

Raw Data:
Time (min)	Step (s)	Value (pA)
0.148447	0.05	-3.439974
0.149280	0.05	-3.437370
0.150114	0.05	-3.441276
0.150947	0.05	-3.432292
0.151780	0.05	-3.428125
0.152614	0.05	-3.428125
0.153447	0.05	-3.428516
0.154280	0.05	-3.424740
0.155114	0.05	-3.423568
0.155947	0.05	-3.423307
0.156780	0.05	-3.430208
0.157614	0.05	-3.433594
0.158447	0.05	-3.435417
0.159280	0.05	-3.429818
0.160114	0.05	-3.426953
0.160947	0.05	-3.428646
0.161780	0.05	-3.431771
0.162614	0.05	-3.435677
0.163447	0.05	-3.433984
0.164280	0.05	-3.436328
0.165114	0.05	-3.432161
0.165947	0.05	-3.430339
0.166780	0.05	-3.429036
0.167614	0.05	-3.428385
0.168447	0.05	-3.429818
0.169280	0.05	-3.430078
0.170114	0.05	-3.432422
0.170947	0.05	-3.433073
0.171780	0.05	-3.431510
0.172614	0.05	-3.430078
0.173447	0.05	-3.432031
0.174280	0.05	-3.432552
0.175114	0.05	-3.434896
0.175947	0.05	-3.430078
0.176780	0.05	-3.429557
0.177614	0.05	-3.431901
0.178447	0.05	-3.435938
0.179280	0.05	-3.438411
0.180114	0.05	-3.435156
0.180947	0.05	-3.433984
0.181780	0.05	-3.436328
0.182614	0.05	-3.435156
0.183447	0.05	-3.432292
0.184280	0.05	-3.425521
0.185114	0.05	-3.423828
0.185947	0.05	-3.426693
0.186780	0.05	-3.430990
0.187614	0.05	-3.433854
0.188447	0.05	-3.434635
0.189280	0.05	-3.432031
0.190114	0.05	-3.432813
0.190947	0.05	-3.435156
0.191780	0.05	-3.439844
0.192614	0.05	-3.445182
0.193447	0.05	-3.443099
0.194280	0.05	-3.443359
0.195114	0.05	-3.439453
0.195947	0.05	-3.438542
0.196780	0.05	-3.438802
0.197614	0.05	-3.436719
0.198447	0.05	-3.435938
0.199280	0.05	-3.433724
0.200114	0.05	-3.435547
0.200947	0.05	-3.438281
0.201780	0.05	-3.438672
0.202614	0.05	-3.436458
0.203447	0.05	-3.436198
0.204280	0.05	-3.434375
0.205114	0.05	-3.434505
0.205947	0.05	-3.433203
0.206780	0.05	-3.432813
0.207614	0.05	-3.429818
0.208447	0.05	-3.427474
0.209280	0.05	-3.430469
0.210114	0.05	-3.432031
0.210947	0.05	-3.431771
0.211780	0.05	-3.427214
0.212614	0.05	-3.428776
0.213447	0.05	-3.429688
0.214280	0.05	-3.430469
0.215114	0.05	-3.427865
0.215947	0.05	-3.425130
0.216780	0.05	-3.426302
0.217614	0.05	-3.428776
0.218447	0.05	-3.434896
0.219280	0.05	-3.437760
0.220114	0.05	-3.435807
0.220947	0.05	-3.432292
0.221780	0.05	-3.430859
0.222614	0.05	-3.432943
0.223447	0.05	-3.435807
0.224280	0.05	-3.435286
0.225114	0.05	-3.432161
0.225947	0.05	-3.429948
0.226780	0.05	-3.429948
0.227614	0.05	-3.430859
0.228447	0.05	-3.430599
0.229280	0.05	-3.430339
0.230114	0.05	-3.431771
0.230947	0.05	-3.432161
0.231780	0.05	-3.430729
0.232614	0.05	-3.429818
0.233447	0.05	-3.425391
0.234280	0.05	-3.425260
0.235114	0.05	-3.424479
0.235947	0.05	-3.427995
0.236780	0.05	-3.431120
0.237614	0.05	-3.433984
0.238447	0.05	-3.429297
0.239280	0.05	-3.428776
0.240114	0.05	-3.424479
0.240947	0.05	-3.426432
0.241780	0.05	-3.419792
0.242614	0.05	-3.423438
0.243447	0.05	-3.424870
0.244280	0.05	-3.433073
0.245114	0.05	-3.433594
0.245947	0.05	-3.438542
0.246780	0.05	-3.435026
0.247614	0.05	-3.434766
0.248447	0.05	-3.433203
0.249280	0.05	-3.434635
0.250114	0.05	-3.433464
0.250947	0.05	-3.430208
0.251780	0.05	-3.427474
0.252614	0.05	-3.427734
0.253447	0.05	-3.428776
0.254280	0.05	-3.428125
0.255114	0.05	-3.429557
0.255947	0.05	-3.429167
0.256780	0.05	-3.431901
0.257614	0.05	-3.426563
0.258447	0.05	-3.429167
0.259280	0.05	-3.427474
0.260114	0.05	-3.431510
0.260947	0.05	-3.429948
0.261780	0.05	-3.434505
0.262614	0.05	-3.436068
0.263447	0.05	-3.439453
0.264280	0.05	-3.436589
0.265114	0.05	-3.435677
0.265947	0.05	-3.432031
0.266780	0.05	-3.433203
0.267614	0.05	-3.430208
0.268447	0.05	-3.435547
0.269280	0.05	-3.436719
0.270114	0.05	-3.436849
0.270947	0.05	-3.430078
0.271780	0.05	-3.429948
0.272614	0.05	-3.434505
0.273447	0.05	-3.437760
0.274280	0.05	-3.436979
0.275114	0.05	-3.436198
0.275947	0.05	-3.434375
0.276780	0.05	-3.434505
0.277614	0.05	-3.432552
0.278447	0.05	-3.432161
0.279280	0.05	-3.431510
0.280114	0.05	-3.432552
0.280947	0.05	-3.433333
0.281780	0.05	-3.431380
0.282614	0.05	-3.431120
0.283447	0.05	-3.433594
0.284280	0.05	-3.438542
0.285114	0.05	-3.441016
0.285947	0.05	-3.442448
0.286780	0.05	-3.440495
0.287614	0.05	-3.439844
0.288447	0.05	-3.437109
0.289280	0.05	-3.437630
0.290114	0.05	-3.438542
0.290947	0.05	-3.440755
0.291780	0.05	-3.444531
0.292614	0.05	-3.445182
0.293447	0.05	-3.442448
0.294280	0.05	-3.436719
0.295114	0.05	-3.432292
0.295947	0.05	-3.430990
0.296780	0.05	-3.434635
0.297614	0.05	-3.438802
0.298447	0.05	-3.445573
0.299280	0.05	-3.443880
